sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
A Hagiography of the Taoist saint Zhang Daoling states he was over seven feet tall.,A Hagiography of the Taoist saint Zhang Daoling states he was over seven feet tall.,A Hagiography of the Taoist saint Zhang Daoling,he was over seven feet tall.,0,state,states,A Hagiography of the Taoist saint Zhang Daoling states he was over seven feet,none,A Hagiography of the Taoist saint Zhang Daoling states,A Hagiography of the Taoist saint Zhang Daoling states he was over seven feet,35.14867663,12.52018356
This mixture of styles means Zhou Tong is treated as a highly regarded hero.,This mixture of styles means Zhou Tong is treated as a highly regarded hero.,This mixture of styles,Zhou Tong is treated as a highly regarded hero.,0,mean,means,This mixture of styles means Zhou Tong is treated as,none,This mixture of styles means,This mixture of styles means Zhou Tong is treated as,48.56602216,9.325677872
"In her analysis of Yangzhou storytelling , Børdahl noted that the aforementioned tale about Zhou and Wu Song uses different forms of dialogue for both characters.","In her analysis of Yangzhou storytelling , Børdahl noted the aforementioned tale about Zhou and Wu Song uses different forms of dialogue for both characters.","In her analysis of Yangzhou storytelling , Børdahl",the aforementioned tale about Zhou and Wu Song uses different forms of dialogue for both characters.,0,note,noted,"In her analysis of Yangzhou storytelling , Børdahl noted the aforementioned tale about Zhou",that,"In her analysis of Yangzhou storytelling , Børdahl noted","In her analysis of Yangzhou storytelling , Børdahl noted the aforementioned tale about Zhou",44.67090631,6.751642227
"Therefore , she believes "" square mouth dialogue should at least be divided into two subcategories , namely the Wu Song variant — without rusheng , and the Zhou Tong variant — with rusheng "".","Therefore , she believes "" square mouth dialogue should at least be divided into two subcategories , namely the Wu Song variant — without rusheng , and the Zhou Tong variant — with rusheng "".","Therefore , she",""" square mouth dialogue should at least be divided into two subcategories , namely the Wu Song variant — without rusheng , and the Zhou Tong variant — with rusheng "".",0,believe,believes,"Therefore , she believes "" square mouth dialogue should",none,"Therefore , she believes","Therefore , she believes "" square mouth dialogue should",69.1994977,8.798649788
"C.T. Hsia suggests the mold from which all other similar teachers are cast is Guiguzi , master of the feuding strategists Sun Bin and Pang Juan , from the Yuan Dynasty tale Latter Volume of the Spring and Autumn Annals of the Seven Kingdoms ( 七國春秋後集 ).","C.T. Hsia suggests the mold from which all other similar teachers are cast is Guiguzi , master of the feuding strategists Sun Bin and Pang Juan , from the Yuan Dynasty tale Latter Volume of the Spring and Autumn Annals of the Seven Kingdoms ( 七國春秋後集 ).",C.T. Hsia,"the mold from which all other similar teachers are cast is Guiguzi , master of the feuding strategists Sun Bin and Pang Juan , from the Yuan Dynasty tale Latter Volume of the Spring and Autumn Annals of the Seven Kingdoms ( 七國春秋後集 ).",0,suggest,suggests,C.T. Hsia suggests the mold from which all,none,C.T. Hsia suggests,C.T. Hsia suggests the mold from which all,39.95170784,13.21816254
"Hsia goes on to say that Qian Cai , Yue 's fictional biographer , associated Zhou with the outlaws because "" most such teachers [ in the military romance genre ] are celestials "" with at least two students.","Hsia goes on to say Qian Cai , Yue 's fictional biographer , associated Zhou with the outlaws because "" most such teachers [ in the military romance genre ] are celestials "" with at least two students.",Hsia goes on to,"Qian Cai , Yue 's fictional biographer , associated Zhou with the outlaws because "" most such teachers [ in the military romance genre ] are celestials "" with at least two students.",0,say,say,"Hsia goes on to say Qian Cai , Yue 's",that,Hsia goes on to say,"Hsia goes on to say Qian Cai , Yue 's",62.90418047,2.379140735
"For instance , internalist Yang Jwing @-@ Ming says Zhou was a scholar who studied martial arts in the Shaolin Monastery and later took Yue as his student after the young man worked as a tenant farmer for the official @-@ general Han Qi ( 韓琦 , 1008 – 1075 ).","For instance , internalist Yang Jwing @-@ Ming says Zhou was a scholar who studied martial arts in the Shaolin Monastery and later took Yue as his student after the young man worked as a tenant farmer for the official @-@ general Han Qi ( 韓琦 , 1008 – 1075 ).","For instance , internalist Yang Jwing @-@ Ming","Zhou was a scholar who studied martial arts in the Shaolin Monastery and later took Yue as his student after the young man worked as a tenant farmer for the official @-@ general Han Qi ( 韓琦 , 1008 – 1075 ).",0,say,says,Ming says Zhou was a scholar who,none,"For instance , internalist Yang Jwing @-@ Ming says","For instance , internalist Yang Jwing @-@ Ming says Zhou was a scholar who",36.14310789,12.25636482
"However , history Prof. Meir Shahar notes that unarmed boxing styles did not develop at Shaolin until the late Ming Dynasty.","However , history Prof. Meir Shahar notes unarmed boxing styles did not develop at Shaolin until the late Ming Dynasty.","However , history Prof. Meir Shahar",unarmed boxing styles did not develop at Shaolin until the late Ming Dynasty.,0,note,notes,"However , history Prof. Meir Shahar notes unarmed boxing styles did not",that,"However , history Prof. Meir Shahar notes","However , history Prof. Meir Shahar notes unarmed boxing styles did not",54.363083,8.065652847
He also states that Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of years after the death of Yue by a spearplayer named Ji Jike ( fl.,He also states Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of years after the death of Yue by a spearplayer named Ji Jike ( fl.,He also,Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of years after the death of Yue by a spearplayer named Ji Jike ( fl.,0,state,states,He also states Ji family memoirs and Qing,that,He also states,He also states Ji family memoirs and Qing,78.70521402,8.905622482
He also states that Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of years after the death of Yue by a spearplayer named Ji Jike ( fl.,He also states that Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of years after the death of Yue by a spearplayer named Ji Jike ( fl.,He also states that Ji family memoirs and Qing Dynasty records,Xingyi was created hundreds of years after the death of Yue by a spearplayer named Ji Jike ( fl.,0,suggest,suggest,He also states that Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of,none,He also states that Ji family memoirs and Qing Dynasty records suggest,He also states that Ji family memoirs and Qing Dynasty records suggest Xingyi was created hundreds of,51.30360263,8.733469009
