sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"The Germans also thought that some Commandos were still hiding in the town , and made a street by street search , during which some townspeople were also killed.","The Germans also thought some Commandos were still hiding in the town , and made a street by street search , during which some townspeople were also killed.",0,think,thought,that,The Germans also,The Germans also thought,The Germans also thought some Commandos were still hiding,44.89564776,8.469818115
"In October 2011 , it was announced that this would join DC titles in being published digitally on the same day as its physical release , starting in January 2012.","In October 2011 , it was announced this would join DC titles in being published digitally on the same day as its physical release , starting in January 2012.",0,announce,announced,that,"In October 2011 , it was","In October 2011 , it was announced","In October 2011 , it was announced this would join DC titles",58.19130757,1.711097002
"Although issue 14 made a passing reference to superheroes , the series since developed its own pocket universe in which the supernatural or paranormal did not play a large role in the lives of most ordinary people , and in Earth @-@ threatening circumstances no superhero interventions were shown or hinted at , suggesting that superheroes no longer existed there.","Although issue 14 made a passing reference to superheroes , the series since developed its own pocket universe in which the supernatural or paranormal did not play a large role in the lives of most ordinary people , and in Earth @-@ threatening circumstances no superhero interventions were shown or hinted at , suggesting superheroes no longer existed there.",0,suggest,suggesting,that,"Although issue 14 made a passing reference to superheroes , the series since developed its own pocket universe in which the supernatural or paranormal did not play a large role in the lives of most ordinary people , and in Earth @-@ threatening circumstances no superhero interventions were shown or hinted at ,","Although issue 14 made a passing reference to superheroes , the series since developed its own pocket universe in which the supernatural or paranormal did not play a large role in the lives of most ordinary people , and in Earth @-@ threatening circumstances no superhero interventions were shown or hinted at , suggesting","Although issue 14 made a passing reference to superheroes , the series since developed its own pocket universe in which the supernatural or paranormal did not play a large role in the lives of most ordinary people , and in Earth @-@ threatening circumstances no superhero interventions were shown or hinted at , suggesting superheroes no longer existed there.",37.33931598,8.751663506
"Delano 's run ended with "" The Golden Child "" , where John is reunited with Marj and Mercury , who help him discover that he murdered his more perfect twin in the womb , culminating in an extended story , in which we are shown what would have occurred had the other twin survived in his place.","Delano 's run ended with "" The Golden Child "" , where John is reunited with Marj and Mercury , who help him discover that he murdered his more perfect twin in the womb , culminating in an extended story , in which we are shown what would have occurred had the other twin survived in his place.",0,show,shown,other,"Delano 's run ended with "" The Golden Child "" , where John is reunited with Marj and Mercury , who help him discover that he murdered his more perfect twin in the womb , culminating in an extended story , in which we are","Delano 's run ended with "" The Golden Child "" , where John is reunited with Marj and Mercury , who help him discover that he murdered his more perfect twin in the womb , culminating in an extended story , in which we are shown","Delano 's run ended with "" The Golden Child "" , where John is reunited with Marj and Mercury , who help him discover that he murdered his more perfect twin in the womb , culminating in an extended story , in which we are shown what would have occurred had",23.24042463,3.760546684
""" Last Man Standing "" reveals that his friend Rich is the current descendant of King Arthur , and Merlin 's attempt to discover God 's secret , an act which would destroy England , using John 's few remaining friends as bait.",""" Last Man Standing "" reveals his friend Rich is the current descendant of King Arthur , and Merlin 's attempt to discover God 's secret , an act which would destroy England , using John 's few remaining friends as bait.",0,reveal,reveals,that,""" Last Man Standing """,""" Last Man Standing "" reveals",""" Last Man Standing "" reveals his friend Rich is the",38.45142758,11.55209541
"After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to find his old colleagues and enemies are all taking sides in the hunt for a mythical item , known as the Red Sepulchre.","After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to find his old colleagues and enemies are all taking sides in the hunt for a mythical item , known as the Red Sepulchre.",0,find,finding,none,"After ridding his sister 's house of an evil spirit , and","After ridding his sister 's house of an evil spirit , and finding","After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing",35.64645344,6.788271159
"After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to find his old colleagues and enemies are all taking sides in the hunt for a mythical item , known as the Red Sepulchre.","After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to find his old colleagues and enemies are all taking sides in the hunt for a mythical item , known as the Red Sepulchre.",0,find,find,none,"After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to","After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to find","After ridding his sister 's house of an evil spirit , and finding out Gemma has gone missing , John returns to London , to find his old colleagues and enemies",31.27845806,1.991402268
"John eventually gives into this offer , and the 200th issue shows how Rosacarnis manipulates his reality , making him raise three children with her , in the guise of Kit Ryan , from Garth Ennis ' time on the title , Zed , from Jamie Delano 's , and Angie , from the current run , with three different artists , Steve Dillon , Marcelo Frusin and Leonardo Manco each drawing one story , as the past , present and future of the title.","John eventually gives into this offer , and the 200th issue shows how Rosacarnis manipulates his reality , making him raise three children with her , in the guise of Kit Ryan , from Garth Ennis ' time on the title , Zed , from Jamie Delano 's , and Angie , from the current run , with three different artists , Steve Dillon , Marcelo Frusin and Leonardo Manco each drawing one story , as the past , present and future of the title.",0,show,shows,other,"John eventually gives into this offer , and the 200th issue","John eventually gives into this offer , and the 200th issue shows","John eventually gives into this offer , and the 200th issue shows how Rosacarnis manipulates his reality",78.63326483,8.979389191
"The soldiers are Scottish , so England 's loss is celebrated , saving the day , and proving there 's no source of joy like Schadenfreude.","The soldiers are Scottish , so England 's loss is celebrated , saving the day , and proving there 's no source of joy like Schadenfreude.",0,prove,proving,none,"The soldiers are Scottish , so England 's loss is celebrated , saving the day , and","The soldiers are Scottish , so England 's loss is celebrated , saving the day , and proving","The soldiers are Scottish , so England 's loss is celebrated , saving the day , and proving there 's no source of",30.80044426,11.20279884
"When he confronted her about this relationship though , she told him that she would not stop unless he was able to retrieve her mother 's soul from Hell.","When he confronted her about this relationship though , she told him she would not stop unless he was able to retrieve her mother 's soul from Hell.",1,tell,told,that,"When he confronted her about this relationship though , she","When he confronted her about this relationship though , she told","When he confronted her about this relationship though , she told him she would not stop unless",25.17300419,4.369696617
