sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
"When he originally heard about the project , he thought it would be a light tone similar to other Valkyria Chronicles games , but found the themes much darker than expected.","When he originally heard about the project , he thought it would be a light tone similar to other Valkyria Chronicles games , but found the themes much darker than expected.","When he originally heard about the project , he","it would be a light tone similar to other Valkyria Chronicles games , but found the themes much darker than expected.",0,think,thought,"When he originally heard about the project , he thought it would be a light",none,"When he originally heard about the project , he thought","When he originally heard about the project , he thought it would be a light",16.88884157,3.970449448
"While Sakimoto was most used to working with synthesized music , he felt that he needed to incorporate live instruments such as orchestra and guitar.","While Sakimoto was most used to working with synthesized music , he felt he needed to incorporate live instruments such as orchestra and guitar.","While Sakimoto was most used to working with synthesized music , he",he needed to incorporate live instruments such as orchestra and guitar.,0,feel,felt,"While Sakimoto was most used to working with synthesized music , he felt he needed to incorporate live",that,"While Sakimoto was most used to working with synthesized music , he felt","While Sakimoto was most used to working with synthesized music , he felt he needed to incorporate live",25.62799323,6.542904973
"During an interview , the development team said that the game had the capacity for downloadable content ( DLC ) , but that no plans were finalized.","During an interview , the development team said the game had the capacity for downloadable content ( DLC ) , but that no plans were finalized.","During an interview , the development team","the game had the capacity for downloadable content ( DLC ) , but that no plans were finalized.",0,say,said,"During an interview , the development team said the game had the capacity",that,"During an interview , the development team said","During an interview , the development team said the game had the capacity",26.86803424,4.224174678
"4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt that Valkyria Chronicles III provided a "" profound feeling of closure "" for the Valkyria Chronicles series.","4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt Valkyria Chronicles III provided a "" profound feeling of closure "" for the Valkyria Chronicles series.","4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo ,","Valkyria Chronicles III provided a "" profound feeling of closure "" for the Valkyria Chronicles series.",0,feel,felt,"4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt Valkyria Chronicles III provided a",that,"4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt","4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt Valkyria Chronicles III provided a",36.56028991,12.58282065
"On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be held to consider the issue of secession and to elect delegates to such a convention.","On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be held to consider the issue of secession and to elect delegates to such a convention.","On January 15 , 1861 , the state legislature decided to hold a referendum to",a state convention should be held to consider the issue of secession and to elect delegates to such a convention.,0,determine,determine,"On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be",other,"On January 15 , 1861 , the state legislature decided to hold a referendum to determine","On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should",21.0247097,2.042309046
"On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor that his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegrams asking for reinforcements , although rumors were widely spread that they were already coming.","On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegrams asking for reinforcements , although rumors were widely spread that they were already coming.","On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by","his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegrams asking for reinforcements , although rumors were widely spread that they were already coming.",2,tell,telling,"On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor his orders came from the",that,"On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling","On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor his orders came from the",32.82601798,5.744631833
"Faced with the fact that the military had assembled believing they were following his orders and the consensus of the citizens of Little Rock against any armed conflict between the civilian army and federal troops , Governor Rector was forced to take control of the situation.","Faced with the fact that the military had assembled believing they were following his orders and the consensus of the citizens of Little Rock against any armed conflict between the civilian army and federal troops , Governor Rector was forced to take control of the situation.",Faced with the fact that the military had assembled,"they were following his orders and the consensus of the citizens of Little Rock against any armed conflict between the civilian army and federal troops , Governor Rector was forced to take control of the situation.",0,believe,believing,Faced with the fact that the military had assembled believing they were following his orders,none,Faced with the fact that the military had assembled believing,Faced with the fact that the military had assembled believing they were following his orders,21.62667179,20.47387886
"The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning that it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis.","The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis.","The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , """,it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis.,0,mean,meaning,"The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning it was simply a warehouse",that,"The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning","The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning it was simply a warehouse",22.83384776,6.961889744
"Note there were only 1 @,@ 364 percussion weapons available.","Note there were only 1 @,@ 364 percussion weapons available.",,"there were only 1 @,@ 364 percussion weapons available.",0,note,Note,Note there were only 1 @,none,Note,"Note there were only 1 @,@",63.74324703,3.124382019
"As illustrating as the pitiful scarcity of material in the country , the fact may be stated that it was found necessary to use public documents of the State Library for cartridge paper.","As illustrating as the pitiful scarcity of material in the country , the fact may be stated it was found necessary to use public documents of the State Library for cartridge paper.","As illustrating as the pitiful scarcity of material in the country , the fact may be",it was found necessary to use public documents of the State Library for cartridge paper.,0,state,stated,"As illustrating as the pitiful scarcity of material in the country , the fact may be stated it was found necessary to",that,"As illustrating as the pitiful scarcity of material in the country , the fact may be stated","As illustrating as the pitiful scarcity of material in the country , the fact may be stated it was found necessary to",28.81791359,6.654064655
