sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt that she was : "" easy on the eyes and appears confident but has precious little to do "".","Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt she was : "" easy on the eyes and appears confident but has precious little to do "".","Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN","she was : "" easy on the eyes and appears confident but has precious little to do "".",0,feel,felt,"Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt she was : "" easy",that,"Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt","Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt she was : "" easy",36.16482496,15.00497484
"Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".","Gaurav Malini of The Times of India stated she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".",Gaurav Malini of The Times of India,"she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".",0,state,stated,"Gaurav Malini of The Times of India stated she was "" tastefully tempting",that,Gaurav Malini of The Times of India stated,"Gaurav Malini of The Times of India stated she was "" tastefully tempting",65.23455179,11.53241539
"Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".","Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted her romance with Hashmi was "" literally half @-@ baked "".","Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but","her romance with Hashmi was "" literally half @-@ baked "".",0,note,noted,"Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted her romance with Hashmi was",that,"Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted","Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted her romance with Hashmi was",41.23142809,9.51310873
"In a particularly scathing review , Saibal Chatterjee of NDTV wrote that both Fernandez and Padukone "" strut around like wound @-@ up automatons that are all decked @-@ up but have nowhere to go.","In a particularly scathing review , Saibal Chatterjee of NDTV wrote both Fernandez and Padukone "" strut around like wound @-@ up automatons that are all decked @-@ up but have nowhere to go.","In a particularly scathing review , Saibal Chatterjee of NDTV","both Fernandez and Padukone "" strut around like wound @-@ up automatons that are all decked @-@ up but have nowhere to go.",0,write,wrote,"In a particularly scathing review , Saibal Chatterjee of NDTV wrote both Fernandez and Padukone """,that,"In a particularly scathing review , Saibal Chatterjee of NDTV wrote","In a particularly scathing review , Saibal Chatterjee of NDTV wrote both Fernandez and Padukone """,59.51148182,3.774387042
"While Sneha May Francis commented that she is : "" incredibly dazzling , and moves like a magic "" , Raja Sen of Rediff.com was more critical of her dialogue delivery , calling it "" unfortunate.","While Sneha May Francis commented she is : "" incredibly dazzling , and moves like a magic "" , Raja Sen of Rediff.com was more critical of her dialogue delivery , calling it "" unfortunate.",While Sneha May Francis,"she is : "" incredibly dazzling , and moves like a magic "" , Raja Sen of Rediff.com was more critical of her dialogue delivery , calling it "" unfortunate.",0,comment,commented,"While Sneha May Francis commented she is : "" incredibly",that,While Sneha May Francis commented,"While Sneha May Francis commented she is : "" incredibly",52.47812891,13.29160595
"While India TV called it "" her best act till date "" , critic Rajeev Masand felt that she "" appears miscast in a part that required greater range.","While India TV called it "" her best act till date "" , critic Rajeev Masand felt she "" appears miscast in a part that required greater range.","While India TV called it "" her best act till date "" , critic Rajeev Masand","she "" appears miscast in a part that required greater range.",0,feel,felt,"While India TV called it "" her best act till date "" , critic Rajeev Masand felt she "" appears miscast in",that,"While India TV called it "" her best act till date "" , critic Rajeev Masand felt","While India TV called it "" her best act till date "" , critic Rajeev Masand felt she "" appears miscast in",47.3094864,12.5290575
"Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.","Film critic Subhash K. Jha noted she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.",Film critic Subhash K. Jha,"she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.",0,note,noted,"Film critic Subhash K. Jha noted she : "" ... in",that,Film critic Subhash K. Jha noted,"Film critic Subhash K. Jha noted she : "" ... in",53.65880704,11.04394609
"Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.","Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.","Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen",": "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.",0,remark,remarked,"Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ]",none,"Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked","Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ]",21.44510571,5.679454327
"She says : "" I miss them so much everyday.","She says : "" I miss them so much everyday.",She,": "" I miss them so much everyday.",0,say,says,"She says : "" I miss them",none,She says,"She says : "" I miss them",36.04856348,7.063094139
"While analysing Fernandez 's career , India TV noted : "" Slowly and steadily Jacqueline Fernandez is climbing up the ladder of success [ ... ] Jacqueline is comfortably grasping every aspect of the work , which an actress is required to do and is accordingly giving results.","While analysing Fernandez 's career , India TV noted : "" Slowly and steadily Jacqueline Fernandez is climbing up the ladder of success [ ... ] Jacqueline is comfortably grasping every aspect of the work , which an actress is required to do and is accordingly giving results.","While analysing Fernandez 's career , India TV",": "" Slowly and steadily Jacqueline Fernandez is climbing up the ladder of success [ ... ] Jacqueline is comfortably grasping every aspect of the work , which an actress is required to do and is accordingly giving results.",0,note,noted,"While analysing Fernandez 's career , India TV noted : "" Slowly and steadily",none,"While analysing Fernandez 's career , India TV noted","While analysing Fernandez 's career , India TV noted : "" Slowly and steadily",32.78175473,9.521471024
