sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"However , core animal welfare groups felt that shooting was the most humane option.","However , core animal welfare groups felt shooting was the most humane option.",0,feel,felt,that,"However , core animal welfare groups","However , core animal welfare groups felt","However , core animal welfare groups felt shooting was the most humane",31.19438648,10.2138021
"They aimed to decide which organization was in charge of long term management , to ensure that the treatment of horses is humane , to preserve and control the best attributes of the herds , and to eliminate the impacts of the herds on other conservation priorities.","They aimed to decide which organization was in charge of long term management , to ensure that the treatment of horses is humane , to preserve and control the best attributes of the herds , and to eliminate the impacts of the herds on other conservation priorities.",0,decide,decide,none,They aimed to,They aimed to decide,They aimed to decide which organization was in charge,26.78298867,11.45010662
"The album received mixed reviews from contemporary critics , but some noted how Gaga was able to sell the songs from The Fame in new and novel ways.","The album received mixed reviews from contemporary critics , but some noted how Gaga was able to sell the songs from The Fame in new and novel ways.",0,note,noted,other,"The album received mixed reviews from contemporary critics , but some","The album received mixed reviews from contemporary critics , but some noted","The album received mixed reviews from contemporary critics , but some noted how Gaga was able to",30.12611845,7.198025227
"On April 15 , 2010 , The Guardian reported that a number of artists , including Pet Shop Boys , Passion Pit and rock musician Marilyn Manson , have contributed to a remix album by Lady Gaga , titled The Remix.","On April 15 , 2010 , The Guardian reported a number of artists , including Pet Shop Boys , Passion Pit and rock musician Marilyn Manson , have contributed to a remix album by Lady Gaga , titled The Remix.",0,report,reported,that,"On April 15 , 2010 , The Guardian","On April 15 , 2010 , The Guardian reported","On April 15 , 2010 , The Guardian reported a number of artists ,",38.91982497,2.139066458
"Chuck Campbell from the California Chronicle felt that the main "" trick "" adopted by the producers behind The Remix , was to preserve the integrity of Gaga 's nuances in her songs , at the same time bringing something new to her music.","Chuck Campbell from the California Chronicle felt the main "" trick "" adopted by the producers behind The Remix , was to preserve the integrity of Gaga 's nuances in her songs , at the same time bringing something new to her music.",0,feel,felt,that,Chuck Campbell from the California Chronicle,Chuck Campbell from the California Chronicle felt,"Chuck Campbell from the California Chronicle felt the main "" trick """,47.80547857,14.13235617
"She also felt that the remix of "" LoveGame "" featuring Manson , changed the original composition by "" giving the originally innocent and fun song an almost demonic quality "".","She also felt the remix of "" LoveGame "" featuring Manson , changed the original composition by "" giving the originally innocent and fun song an almost demonic quality "".",0,feel,felt,that,She also,She also felt,"She also felt the remix of "" LoveGame",64.75161648,9.769529819
"Campbell also added that the Passion Pit remix of "" Telephone "" felt like a "" theatrical set up for a song that feels like it 's going somewhere , but never does "" ; the remix consists of synths , with a thumping beat accompanying the song.","Campbell also added the Passion Pit remix of "" Telephone "" felt like a "" theatrical set up for a song that feels like it 's going somewhere , but never does "" ; the remix consists of synths , with a thumping beat accompanying the song.",0,add,added,that,Campbell also,Campbell also added,Campbell also added the Passion Pit remix of,45.72082829,6.986964703
"Simon Cage from the Daily Express gave the album three out of five stars and felt that although she "" has a winning way with ostentatious hats "" , Gaga 's true talent lies in selling the same album over and over again.","Simon Cage from the Daily Express gave the album three out of five stars and felt although she "" has a winning way with ostentatious hats "" , Gaga 's true talent lies in selling the same album over and over again.",0,feel,felt,that,Simon Cage from the Daily Express gave the album three out of five stars and,Simon Cage from the Daily Express gave the album three out of five stars and felt,"Simon Cage from the Daily Express gave the album three out of five stars and felt although she "" has a",50.64760399,10.40413475
""" It ’ s great but ... enough already ! "" Music critic J. D. Considine , while reviewing the album for The Globe and Mail , complimented the piano and voice version of "" Poker Face "" adding that the latter was "" the smartest track on her newest remix album "".",""" It ’ s great but ... enough already ! "" Music critic J. D. Considine , while reviewing the album for The Globe and Mail , complimented the piano and voice version of "" Poker Face "" adding the latter was "" the smartest track on her newest remix album "".",0,add,adding,that,""" It ’ s great but ... enough already ! "" Music critic J. D. Considine , while reviewing the album for The Globe and Mail , complimented the piano and voice version of "" Poker Face """,""" It ’ s great but ... enough already ! "" Music critic J. D. Considine , while reviewing the album for The Globe and Mail , complimented the piano and voice version of "" Poker Face "" adding",""" It ’ s great but ... enough already ! "" Music critic J. D. Considine , while reviewing the album for The Globe and Mail , complimented the piano and voice version of "" Poker Face "" adding the latter was "" the",27.46421146,12.8176657
"He felt that the song "" brings out her inner Elton John.","He felt the song "" brings out her inner Elton John.",0,feel,felt,that,He,He felt,"He felt the song "" brings out",47.5065105,9.998018265
