sentence,pseudo_that,verb,comp_type
"When he originally heard about the project , he thought it would be a light tone similar to other Valkyria Chronicles games , but found the themes much darker than expected.","When he originally heard about the project , he thought it would be a light tone similar to other Valkyria Chronicles games , but found the themes much darker than expected.",think,none
"While Sakimoto was most used to working with synthesized music , he felt that he needed to incorporate live instruments such as orchestra and guitar.","While Sakimoto was most used to working with synthesized music , he felt he needed to incorporate live instruments such as orchestra and guitar.",feel,that
"During an interview , the development team said that the game had the capacity for downloadable content ( DLC ) , but that no plans were finalized.","During an interview , the development team said the game had the capacity for downloadable content ( DLC ) , but that no plans were finalized.",say,that
"4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt that Valkyria Chronicles III provided a "" profound feeling of closure "" for the Valkyria Chronicles series.","4Gamer.net writer Naohiko Misuosame , in a "" Play Test "" article based on the game 's PSN demo , felt Valkyria Chronicles III provided a "" profound feeling of closure "" for the Valkyria Chronicles series.",feel,that
"On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be held to consider the issue of secession and to elect delegates to such a convention.","On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be held to consider the issue of secession and to elect delegates to such a convention.",determine,other
"On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor that his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegrams asking for reinforcements , although rumors were widely spread that they were already coming.","On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegrams asking for reinforcements , although rumors were widely spread that they were already coming.",tell,that
"Faced with the fact that the military had assembled believing they were following his orders and the consensus of the citizens of Little Rock against any armed conflict between the civilian army and federal troops , Governor Rector was forced to take control of the situation.","Faced with the fact that the military had assembled believing they were following his orders and the consensus of the citizens of Little Rock against any armed conflict between the civilian army and federal troops , Governor Rector was forced to take control of the situation.",believe,none
"The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning that it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis.","The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis.",mean,that
"Note there were only 1 @,@ 364 percussion weapons available.","Note there were only 1 @,@ 364 percussion weapons available.",note,none
"As illustrating as the pitiful scarcity of material in the country , the fact may be stated that it was found necessary to use public documents of the State Library for cartridge paper.","As illustrating as the pitiful scarcity of material in the country , the fact may be stated it was found necessary to use public documents of the State Library for cartridge paper.",state,that
