sentence,pseudo_that,verb,comp_type
"The National Hurricane Center ( NHC ) stated that they had issues monitoring the system as it moved through the Caribbean ; however , they interpreted through satellite data that the wave crossed Central America and entered the Pacific Ocean between July 27 and 28.","The National Hurricane Center ( NHC ) stated they had issues monitoring the system as it moved through the Caribbean ; however , they interpreted through satellite data that the wave crossed Central America and entered the Pacific Ocean between July 27 and 28.",state,that
"Operational analysis of satellite information indicated a minimum pressure of 921 mbar ( hPa ; 27 @.@ 2 inHg ) ; however , post @-@ storm studies stated that the pressure was more likely around 919 mbar ( hPa ; 27 @.@ 14 inHg ).","Operational analysis of satellite information indicated a minimum pressure of 921 mbar ( hPa ; 27 @.@ 2 inHg ) ; however , post @-@ storm studies stated the pressure was more likely around 919 mbar ( hPa ; 27 @.@ 14 inHg ).",state,that
"This indicated that maximum winds at the surface could have been as high as 181 mph ( 291 km / h ) ; however , this was not used as the reported intensity as six- to twelve @-@ hour averages indicated sustained winds around 160 mph ( 260 km / h ).","This indicated maximum winds at the surface could have been as high as 181 mph ( 291 km / h ) ; however , this was not used as the reported intensity as six- to twelve @-@ hour averages indicated sustained winds around 160 mph ( 260 km / h ).",indicate,that
"Cloud temperatures within the eyewall also began to increase , indicating that the hurricane was losing intensity.","Cloud temperatures within the eyewall also began to increase , indicating the hurricane was losing intensity.",indicate,that
"These characteristics resulted in slow , unwieldy formations , and the inadequate supply of arms and munitions meant that even the very large Yugoslav formations had low firepower.","These characteristics resulted in slow , unwieldy formations , and the inadequate supply of arms and munitions meant even the very large Yugoslav formations had low firepower.",mean,that
"Luftwaffe reconnaissance sorties revealed that the main body of the 7th Army was withdrawing towards Zagreb , leaving behind light forces to maintain contact with the German bridgeheads.","Luftwaffe reconnaissance sorties revealed the main body of the 7th Army was withdrawing towards Zagreb , leaving behind light forces to maintain contact with the German bridgeheads.",reveal,that
"Their manager Benny Medina decided that they wanted to record the song after all , but upon hearing that Madonna had already recorded it , changed their mind.","Their manager Benny Medina decided they wanted to record the song after all , but upon hearing that Madonna had already recorded it , changed their mind.",decide,that
"Their manager Benny Medina decided that they wanted to record the song after all , but upon hearing that Madonna had already recorded it , changed their mind.","Their manager Benny Medina decided that they wanted to record the song after all , but upon hearing Madonna had already recorded it , changed their mind.",hear,that
Thank God we did.,Thank God we did.,thank,none
Madonna 's manager Freddy DeMann overheard the song and thought it would be a hit for Madonna and he asked Cole to re @-@ demo a female demo version.,Madonna 's manager Freddy DeMann overheard the song and thought it would be a hit for Madonna and he asked Cole to re @-@ demo a female demo version.,think,none
"Robert Christgau said of the song , "" I 'm not saying her flair is pleasureless — the generosity she demands in the inexhaustible ' Open Your Heart ' is a two @-@ way street and then some.","Robert Christgau said of the song , "" I 'm not saying her flair is pleasureless — the generosity she demands in the inexhaustible ' Open Your Heart ' is a two @-@ way street and then some.",say,none
"Robert Christgau said of the song , "" I 'm not saying her flair is pleasureless — the generosity she demands in the inexhaustible ' Open Your Heart ' is a two @-@ way street and then some.","Robert Christgau said of the song , "" I 'm not saying her flair is pleasureless — the generosity she demands in the inexhaustible ' Open Your Heart ' is a two @-@ way street and then some.",say,none
"Robert Christgau said of the song , "" I 'm not saying her flair is pleasureless — the generosity she demands in the inexhaustible ' Open Your Heart ' is a two @-@ way street and then some.","Robert Christgau said of the song , "" I 'm not saying her flair is pleasureless — the generosity she demands in the inexhaustible ' Open Your Heart ' is a two @-@ way street and then some.",say,none
"Although it looked fake , Mondino liked it saying "" I like the fakeness of it.","Although it looked fake , Mondino liked it saying "" I like the fakeness of it.",say,none
"I haven 't seen it for a long time , but when I saw it once again , I said , ' It 's so naïve '.","I haven 't seen it for a long time , but when I saw it once again , I said , ' It 's so naïve '.",say,none
