verb,overall,that,other,none
say,419,117,3,196
find,273,30,2,8
state,210,125,0,59
reiterate,1,1,0,0
speculate,11,6,1,1
respond,37,1,0,1
affirm,6,0,0,0
mean,104,28,0,23
assert,23,18,0,0
regret,3,0,0,0
understand,26,1,1,0
reply,19,3,0,8
prove,48,7,1,2
indicate,52,23,0,8
acknowledge,16,2,0,0
signify,8,1,0,1
declare,44,5,0,3
claim,90,34,2,17
expect,49,4,0,1
note,175,101,1,21
remember,22,1,0,0
joke,4,3,0,0
verify,4,2,0,1
plead,1,0,0,0
hypothesize,1,0,0,0
wonder,3,0,0,0
recall,31,5,0,5
proclaim,8,1,0,0
pretend,9,4,0,0
certify,30,2,0,0
disclose,2,1,0,0
reveal,69,28,0,3
demonstrate,25,4,0,2
concede,5,1,0,0
recognize,37,3,0,1
like,23,0,0,0
believe,131,48,2,35
comment,54,27,0,8
allege,15,4,0,2
predict,7,2,0,1
resent,4,0,0,0
see,249,7,4,5
report,136,36,0,5
estimate,73,16,0,0
request,18,4,0,0
suspect,8,1,0,0
take,518,0,0,0
warn,16,6,0,1
boast,3,0,0,0
sense,2,0,0,0
read,39,0,0,1
guess,5,0,0,3
determine,47,12,4,3
infer,4,1,0,0
explain,77,30,0,14
vow,1,0,0,0
know,354,12,10,16
tell,92,23,0,16
deny,31,6,0,2
notice,10,3,0,0
hope,35,9,1,7
trust,4,0,0,0
agree,92,9,0,2
write,407,88,0,29
promise,16,2,0,1
worry,6,2,0,1
wish,16,0,0,1
announce,79,31,0,15
perceive,14,0,0,0
caution,2,1,0,0
consider,175,2,0,0
opine,17,11,0,5
moan,2,0,0,0
add,92,18,0,8
imagine,4,0,0,0
fear,14,5,0,5
thank,4,0,0,0
confirm,22,10,0,0
learn,63,9,0,4
propose,59,5,0,0
observe,46,14,0,1
mention,42,4,1,2
anticipate,6,0,0,1
complain,12,7,0,1
maintain,61,4,0,0
think,133,24,1,65
confess,7,2,0,1
ignore,17,0,0,0
doubt,4,2,0,1
shout,2,0,0,0
reckon,1,1,0,0
presume,1,0,0,0
swear,7,0,0,0
remark,21,10,0,7
growl,2,0,0,0
figure,4,0,0,0
hint,7,1,0,0
hear,50,1,0,2
suggest,124,78,1,19
attest,2,0,0,1
suppose,15,0,0,1
scream,2,0,0,0
guarantee,5,0,0,0
mumble,1,0,0,0
conceal,7,0,0,0
repeat,16,0,0,0
feel,133,51,0,27
emphasize,15,2,0,0
imply,10,5,0,1
answer,7,2,0,0
teach,67,10,0,1
reason,3,3,0,0
forget,11,0,1,0
realize,19,9,0,6
dream,2,1,0,0
hate,7,0,0,0
calculate,13,2,0,1
show,146,13,3,4
argue,58,40,0,7
establish,134,1,0,0
insist,15,9,0,3
accept,74,4,0,0
decide,109,10,1,11
signal,3,1,0,0
muse,2,0,0,2
