verb,overall,that,other,none
say,902,303,2,413
find,896,99,1,20
state,417,252,0,101
reiterate,4,1,0,0
speculate,32,20,3,1
respond,72,6,0,1
affirm,12,0,0,0
mean,212,79,1,38
theorize,7,5,0,0
assert,37,24,0,2
regret,15,3,0,0
understand,62,2,1,2
reply,23,10,0,10
prove,132,14,0,5
indicate,144,74,0,13
holler,1,0,0,0
acknowledge,44,15,1,2
signify,11,1,0,1
declare,148,28,0,10
claim,248,91,1,33
expect,108,5,0,1
note,416,206,2,31
remember,57,6,2,3
joke,5,3,0,0
verify,19,1,1,0
plead,13,0,0,2
hypothesize,3,1,0,0
wonder,19,0,8,1
recall,65,17,0,10
proclaim,22,2,0,0
pretend,15,1,0,0
certify,47,0,0,0
disclose,8,0,0,0
reveal,149,51,1,6
demonstrate,64,11,1,2
concede,12,1,0,2
like,98,2,0,0
recognize,84,7,0,1
comment,129,59,0,27
believe,302,112,1,76
allege,43,13,0,4
predict,36,9,0,5
resent,9,0,0,0
deduce,3,3,0,0
yell,7,0,0,0
wail,1,0,0,0
see,639,11,6,17
report,273,82,0,7
estimate,134,17,0,2
request,42,6,0,0
suspect,21,8,0,2
take,1255,1,0,0
warn,36,16,0,1
boast,6,0,0,0
sense,9,1,0,0
read,147,0,0,5
guess,8,2,0,4
determine,116,14,11,9
infer,2,1,0,0
explain,177,51,3,27
vow,8,0,0,1
know,893,28,23,42
tell,337,116,3,54
notice,37,11,0,3
deny,71,9,0,0
hope,86,19,1,24
trust,10,0,0,0
agree,193,24,0,7
write,1191,161,1,113
promise,55,10,0,2
worry,17,7,0,1
wish,51,4,0,7
announce,212,79,2,16
perceive,24,1,0,0
caution,6,2,0,0
consider,431,11,2,3
opine,31,17,0,4
add,285,42,0,15
whisper,2,0,0,0
imagine,23,1,0,1
fear,33,15,0,4
thank,11,0,0,2
confirm,90,18,0,3
learn,151,48,1,5
propose,176,19,0,3
observe,165,25,0,3
mention,90,7,0,0
anticipate,16,1,0,0
complain,35,21,0,1
think,338,56,1,135
maintain,172,25,0,3
confess,7,5,0,1
ignore,34,0,0,0
doubt,14,7,1,0
shout,7,0,0,1
reckon,1,0,0,1
presume,15,1,0,0
swear,8,1,0,0
remark,31,16,1,6
growl,1,0,0,0
figure,11,0,1,3
hint,12,2,0,0
hear,158,9,0,3
suggest,289,156,0,45
scream,9,0,0,0
suppose,57,4,0,4
attest,19,0,0,0
guarantee,19,2,0,0
mumble,1,0,0,0
conceal,6,0,0,0
repeat,55,0,0,0
feel,403,139,1,79
emphasize,26,3,0,0
imply,38,16,0,4
answer,33,0,0,0
teach,68,1,0,0
reason,2,1,0,1
forget,30,0,0,2
recollect,1,0,0,0
intimate,1,1,0,0
realize,56,26,3,11
dream,9,0,0,0
hoot,1,0,0,0
hate,19,0,0,0
brag,1,0,0,1
testify,8,2,0,0
calculate,42,2,0,2
show,423,69,1,27
argue,151,105,1,9
establish,297,3,1,0
insist,42,23,0,4
accept,158,6,0,1
decide,296,35,10,17
signal,8,1,0,0
